d_id,doctor_name,qualification,designation,sp_id
d_079,"Dr. Hasan Masud","MBBS, MD","Associate Professor",sp_007
d_080,"Dr. Md. Mohsin Kabir","MBBS, MD ( Gastro )","Assistant Professor, Department of GHPD",sp_007
d_081,"Dr. Md. Anwarul Karim","FCPS ( Ped. ), MD ( Ped. )","Associate Professor",sp_009
d_082,"Professor Dr. Alamgir Kabir","MBBS, FCPS ( Hematology )","Professor & Head, Department of Hematology",sp_009
d_083,"Professor Dr. A. B. M. Yunus","MBBS (India), MPhil Path (Hons), FCPS (Hematology)",Professor,sp_009
d_084,"Professor Dr. Md. Moniruzzaman","MBBS, GC (Pathology),","MCPS (Clinical Pathology), FCPS (Haematology)",sp_009
d_085,"Professor Dr. M A Khan","MBBS, FCPS ( Hematology ), ASH Member","Professor and Head, Department of Hematology",sp_009
d_086,"Professor Dr. Md. Jalilur Rahman","MBBS, M.Phil, FCPS, FRCP (Edin), FRCP (Glasgow)","Professor & Chairman",sp_009
d_087,"Professor Dr. Manzur morshed","MBBS, FCPS, MRCP(UK)",Professor,sp_009
d_088,"Professor Dr. Manjur Morshed","MBBS, FCPS, MRCP ( UK )",Professor,sp_009
d_089,"Dr. Mohammed A. Hashem","MBBS, MD (Interna. Med. USA), Fellow in Nephrology (USA)",Consultant,sp_011
d_090,"Professor Dr. Muhammad Rafiqul Alam","MBBS, MD ( Nephrology ), Fcps ( Medicine )","Professor & Chairman, department of Nephrology",sp_011
d_091,"Professor Dr. Md. Abul Mansur","MBBS, MD, Dip. in Nephro","Professor, Department of Hemodialysis",sp_011
d_092,"Professor Dr. Md. Jahangir Kobir","FCPS (Medicine) FCW (Kidney)UK","Director & Professor",sp_011
d_093,"Professor Dr. M. Muhibur Rahman","MBBS (DMC), FCPS (Medicine), MRCP (UK), Ph.D Nephrology (London)","Professor, Department of Nephrology",sp_011
d_094,"Prof. Dr. Harun-Ur-Rashid","MBBS, P.hD, FCPS, FRCP","Former Professor & Chairman",sp_011
d_095,"Dr. A.K.M. Shamsul kabir","MBBS (DMCH), FCPS (Medicine), MD (Hepatology)","Assistant Professor",sp_008
d_096,"Professor Dr. A H M Rowshon","MBBS, FCPS (Med.), MD(Gastro),","Commonwealth Fellow-gastro (UK)",sp_008
d_097,"Professor Dr. A. K. M. Khorshed Alam","MBBS, FCPS; MHPE","Professor, Department of Hepatology",sp_008
d_098,"Professor Dr. M. T. Rahman","MBBS, FCPS, Trained in France & Japan","Former Professor, Gastrointestinal Liver & Pancereatic Diseases",sp_008
d_099,"Professor Dr. Anowar Kabir","MBBS, MRCP, FRCP, FCGE (UK)","Senior Consultant",sp_008
d_100,"Dr. Dewan Saifuddin Ahmed","MBBS, FCPS ( Medicine ), MD ( Gastro )","Associate Professor",sp_008
d_101,"Dr. Mamun-Al-Mahtab (Shwapnil)","MBBS, MSC ( Gastroenterology, London )","Assistant Professor, Department of Liver",sp_008
d_102,"Dr. Lutful L. Chowdhury","MBBS, MRCP, FRCP, FCGE (UK)","Senior Consultant",sp_008
d_103,"Dr. Hafeza Aftab","MBBS, MD (Gastroentrology)",Consultant,sp_008
d_104,"Dr. Mohammad Jahangir Talukder","MBBS(Ctg), MRCP(UK), MRCP (Edin)",Consultant,sp_010
d_105,"Dr. Abu Reza Mohammad Nooruzzaman",NULL,Consultant,sp_010
d_106,"Dr. Afsana Begum","MBBS, FCPS",Specialist,sp_010
d_107,"Dr. Anup Kumar Saha","MBBS, FCPS ( Medicine ), MD ( Internal Medicine ), FACP ( America )","Associate Professor",sp_010
d_108,"Dr. Abdullah Al Mamun","MBBS, FCPS (Medicine), MACP ( USA ), FACP",Consultant,sp_010
d_109,"Dr. Md. Abul Kalam Azad","MBBS, FCPS","Associate Professor",sp_010
d_110,"Professor Dr. A.B.M Abullah","MRCP(UK), FRCP",Professor,sp_010
d_111,"Professor Dr. H A M Nazmul Ahsan","MBBS, FCPS, FRCP (Glasgow) FRCP (Edin), FACP (USA)","Professor of Medicine",sp_010
d_112,"Professor Dr. Mansur Habib","MBBS, FCPS (Medicine) , MD (Neurology) MRCP, FRCP","Professor , Department of Neurology",sp_012
d_113,"Professor Dr. Md. Abdul Hai","MBBS, FCPS (Medicine),MD (Neuro),PhD (India), FRCP (Edin),Fellow (Interventional Neurology)",Professor,sp_012
d_114,"Professor Dr. M. A. Mannan","MBBS, FRCP","Professor, Rtd. & Head of the Department of Neurology",sp_012
d_115,"Professor Dr. Md. Amirul Haque","MBBS, FCPS, FFRCP ( Glasgow ), FACP ( USA ), DCN ( London )","Professor & Head, Department of Neuromedicine",sp_012
d_116,"Professor Dr. Md. Ashraf Ali","Senior Consultant, Department of Neurology","MBBS, FCPS ( Medicine ), MD ( Neurology ), FRCSP ( Edin )",sp_012
d_117,"Professor Dr. (Major Retd.) Md. Mahbubur Rahman","MBBS, FCPS (Medicine), MD (Neurology)","Professor & Head, Department of Neuromedicine",sp_012
d_118,"Professor Dr. Sirajul Haque","MBBS, FCPS (Medicine), FACP (USA), FRCP (Edin)","Chief Consultant",sp_012
d_119,"Professor Dr. Syed Wahidur Rahman","MBBS, FCPS (Medicine)","Professor & Head, Neuromedicine Department",sp_012
d_120,"Professor Dr. Anisul Haque","MBBS, Ph.D. FCPS, FRCP (Edin)","Professor, Head of the Deptartment of Neuro Medicine BSMMU",sp_012
d_121,"Professor Dr. A.K.M. Anwar Ullah","MBBS, FCPS, FRCP(Adin)",Professor,sp_012
d_122,"Prof. Dr. Md. Iqbal Qavi","MBBS, D.Ortho, MS (Ortho)","Professor of Orthopedics (Rtd)",sp_013
d_123,"Dr. Amit Kapoor","MBBS, MS (Ortho.), DNB (Ortho.),",Consultant,sp_013
d_124,"Dr. Abu Jafar Chowdhury","MBBS, MS ( Ortho )","Assistant Professor",sp_013
d_125,"Professor Dr. Kh. Abdul Awal","MBBS, MS, FICS","Professor & Director",sp_013
d_126,"Professor Dr. M. Hafizur Rahman","MBBS, MS","Professor & Head, Department Of Orthopaedic",sp_013
d_127,"Professor M. K. I. Qayyum Chowdhury","MBBS, MS (Ortho), F.I.C.S, F.A.C.S (USA)","Head, Orthopedic Department",sp_013
d_128,"Prof. Dr. Md. Siraj-Ul-Islam","MBBS, MS (Ortho)",Professor,sp_013
d_129,"Professor Dr. Qazi Shahidul Alam","MBBS, D. Orth, MS ( Orth ), FICS ( USA )",Professor,sp_013
d_130,"Brig Gen Professor Dr. A K M Masud","MBBS, MS","Professor & Head, Department of Orthopaedics",sp_013
d_131,"Professor Dr. A.K.M. Akter Murshed","MBBS, MS, FICS",Professor,sp_013
d_132,"Dr. Shyamal Debnath","MBBS,.MS(Ortho)","Associate Professor",sp_013
d_133,"Prof. Dr Anwara Begum","MBBS, FCPS, MRCPsych (London)","Professor of Psychiatry and Chief Consultant,",sp_014
d_134,"Professor Dr. M S I Mullick","MBBS, Phd, FCPS, MRC Psyc ( London ) , DCAP","Professor & Chairman, Department of Pshychiatric",sp_014
d_135,"Professor Dr. Md. Enayet Karim","MBBS, FCPS (Psychiatry)",NULL,sp_014
d_136,"Professor Dr. Dewan Abdur Rahim","PhD, DPM, MCPS (Psych), MBBS Fellow WHO (India), Fellow JICA (Japan)","Ex. Head of Dept. Psychiatry",sp_014
d_137,"Professor Dr. Md. Ahsanul Habib","MBBS, FCPS ( Psyhch )","Professor, Ex - Director, Mental Hospital, Pabna",sp_014
d_138,"Prof. Brig. Gen. Dr. Md. Sajjadur Rahman","MBBS, FCPS ( Psychiatry )","Professor & Head, Department of Psychiatry",sp_014
d_139,"Prof. Brig. Gen. Dr. Md. Sajjadur Rahman","MBBS, FCPS ( Psychiatry )","Professor & Head, Department of Psychiatry",sp_014
d_140,"Professor Dr. Md. Golam Rabbani","MBBS, FCPS",Professor,sp_014
d_141,"Dr. Md. Al - Amin Mridha","MBBS, MCPS, FCPS, MD(Child)",Consultant,sp_016
d_142,"Dr. Md. Aminul Ehsan","MBBS, DCH",Consultant,sp_016
d_143,"Professor Dr. Afiqul Islam","MBBS, FCPS, MD",Professor,sp_016
d_144,"Professor Dr. Selim Shakur","MBBS, FRCPCH ( UK ) , FRCP ( London ) , FRCP ( Edin ) ,","Consultant & Head of Department of Pediatrics",sp_016
d_145,"Professor Golam Maeen Uddin","MBBS, FCPS (Child Disease), FRCP (Edin) Fellow - Child Kidney Disease, Australia","Professor, Department of Child Health,",sp_016
d_146,"Professor Dr. Karim Khan","MBBS, S.Paed ( Vienna), MCPS ( Child ),DCH ( Glasgow), DTM & H ( London ), MPH ( DU )","Professor of Paediatrics, Child Health",sp_016
d_147,"Professor Dr. Golam Mainuddin","MBBS, FCPS (Child), FRCP (Edin)","Professor, Department of Pediatric",sp_016
d_148,"Professor Dr. M. A. Jaigirdar","MBBS, DCH, MRCP (UK)",Professor,sp_016
d_149,"Professor Dr. M.A. Kashem Sarkar","MBBS, DCH, MRCP, FRCP",Professor,sp_016
d_150,"Professor Dr. Sarwar Ferdous","MBBS, MRCP, MRCP, DCH","Professor & Head, Department of Pediatric",sp_016
d_151,"Dr. Md. Shafiqul Alam Chowdhury","MBBS, MS (Urology)","Assistant Professor",sp_017
d_152,"Professor Dr. M.A. Salam","MBBS, FCPS, FICS","Professor & Chairman, Departmnet of Urology",sp_017
d_153,"Dr. ATM Samdani","MBBS, MD ( Radiology and Imaging from BIRDEM )","Associate Consultant",sp_017
d_154,"Professor Dr. AKM Anwarul Islam","MBBS, FCPS, FRCS, FICS Clinical Fellow in Urology (WHO)","Professor, Department of Urology",sp_017
d_155,"Professor Dr. Mirza M H Faisal","MBBS, FCPS, FRCS (Ed), FICS","Senior Consultant & Head, Department of Urology",sp_017
d_156,"Professor Dr. Ko Ninan Chac","MBBS, MS, MCh(Urology), FRCS (Urology)",Consultant,sp_017
d_157,"Professor Dr. S M Mahbub Alam","MBBS, FCPS ( Surgery ), MS ( Urology )","Professor & Head, Department of Urology",sp_017
d_158,"Professor Dr. Zamanul Islam Bhuiyan","FCPS, FICS, MS","Professor & Head of the department",sp_017
d_159,"Dr. A.T.M. Aman Ullah","MBBS, MS ( Urology )","Associate Professor",sp_017
